Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
admission,1184,1124,0.49003,738,5.91488
join,1182,1169,0.50965,838,6.71636
florida,1182,1052,0.45864,709,5.68246
etc,1181,1124,0.49003,889,7.12511
nonessential,1179,1152,0.50223,819,6.56408
sign,1172,1147,0.50005,860,6.89268
severe,1167,1137,0.49569,841,6.7404
election,1166,1066,0.46474,753,6.0351
ask,1164,1137,0.49569,876,7.02092
imagine,1163,1147,0.50005,847,6.78849
law,1161,1031,0.44948,775,6.21143
message,1159,1111,0.48436,870,6.97283
learning,1159,1115,0.4861,800,6.4118
biden,1154,1072,0.46736,631,5.05731
55,1153,1130,0.49264,846,6.78048
dangerous,1152,1131,0.49308,795,6.37172
factory,1151,1141,0.49744,850,6.81254
retail,1147,1109,0.48349,777,6.22746
rapid,1147,1111,0.48436,825,6.61217
explain,1145,737,0.32131,611,4.89701
company,1145,1089,0.47477,804,6.44386
he,1137,1037,0.4521,775,6.21143
found,1136,1102,0.48044,816,6.54003
tuesday,1134,1122,0.48916,763,6.11525
park,1130,1054,0.45951,786,6.29959
announcement,1125,1032,0.44992,744,5.96297
warning,1124,1115,0.4861,849,6.80452
class,1122,1053,0.45907,743,5.95496
continues,1121,1116,0.48654,842,6.74842
9,1120,1101,0.48,779,6.24349
try,1119,1080,0.47084,837,6.70834
letter,1119,1050,0.45777,744,5.96297
advice,1119,956,0.41678,737,5.90687
pretty,1114,1091,0.47564,826,6.62018
vaccinating,1113,1099,0.47913,841,6.7404
hey,1113,1081,0.47128,807,6.4679
later,1110,1103,0.48087,855,6.85261
positivity,1109,1062,0.463,707,5.66643
dead,1109,1083,0.47215,814,6.524
detail,1108,1084,0.47259,765,6.13128
v,1107,986,0.42986,730,5.85077
personal,1107,1038,0.45253,740,5.93091
justin,1107,1053,0.45907,662,5.30576
illness,1107,1086,0.47346,782,6.26753
effort,1106,1094,0.47695,813,6.51599
hold,1101,1092,0.47608,826,6.62018
head,1101,1084,0.47259,828,6.63621
guy,1099,1070,0.46649,817,6.54805
recovery,1098,1055,0.45995,750,6.01106
america,1097,1050,0.45777,740,5.93091
related,1095,1082,0.47172,775,6.21143
physician,1093,1072,0.46736,731,5.85878
24,1092,1068,0.46561,732,5.86679
remain,1090,1087,0.4739,826,6.62018
gym,1088,967,0.42158,663,5.31378
code,1086,1037,0.4521,724,5.80268
whats,1085,1060,0.46213,777,6.22746
side,1085,1011,0.44076,793,6.35569
night,1082,1055,0.45995,806,6.45989
benefit,1082,1039,0.45297,782,6.26753
allowed,1082,1046,0.45602,805,6.45187
event,1081,1009,0.43989,812,6.50797
